Wind speed,Cloud cover,Air themperature,Humidity,Duration (For),SourceHeight,Tank Diameter,Tank length,Liquid level,Opening diameter,Chemical,Mesurement Heigth,Wind is from,type of failure,Building,Ground roughtness,Source,Tank Diameter (meters),Tank Type,Stored Themperature,Opening Diameter (inches),Height of the Tank opening,Ground type,Source strength,Leak through,Stored
5.0,1.0,19.0,81.0,29.0,80.08,5.4,0.8,14.0,1.29,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,5.4,Horizontal,19.0,1.29,11,Concrete,cubic meters,pipe/valve,Liquid
6.0,7.0,27.0,83.0,37.0,20.63,1.8,8.1,40.0,1.56,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Continue,1.8,vertical,27.0,1.56,0,Concrete,cubic meters,Hole,Liquid
4.0,10.0,29.0,78.0,19.0,72.17,7.2,8.8,71.0,1.96,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Instantaneous,7.2,Sphere,29.0,1.96,9,Concrete,cubic meters,pipe/valve,Liquid
4.0,3.0,26.0,83.0,7.0,16.69,5.0,3.9,95.0,0.89,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,5.0,vertical,26.0,0.89,5,Concrete,cubic meters,Hole,Liquid
4.0,6.0,24.0,81.0,26.0,41.79,5.2,6.1,51.0,1.16,cyclohexanone,3,ENE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,open country,Continue,5.2,Horizontal,24.0,1.16,1,Concrete,cubic meters,pipe/valve,Liquid
5.0,6.0,30.0,77.0,19.0,77.11,1.5,1.8,57.0,2.03,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Instantaneous,1.5,vertical,30.0,2.03,0,Concrete,cubic meters,Hole,Liquid
6.0,7.0,24.0,79.0,54.0,67.5,4.4,1.3,33.0,2.11,cyclohexanone,3,NNE,"Leaking tank, chemical is burning and forms a pool fire",Double storied,Urban or forest,Continue,4.4,Horizontal,24.0,2.11,9,Concrete,cubic meters,Hole,Liquid
4.0,3.0,27.0,81.0,53.0,79.99,5.8,5.4,82.0,2.43,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Enclosed office,Urban or forest,Continue,5.8,Horizontal,27.0,2.43,9,Concrete,cubic meters,Hole,Liquid
6.0,1.0,20.0,80.0,44.0,37.97,2.8,7.8,31.0,1.52,cyclohexanone,3,NE,"Leaking tank, chemical is burning and forms a pool fire",Single office,Urban or forest,Continue,2.8,vertical,20.0,1.52,11,Concrete,cubic meters,pipe/valve,Liquid
6.0,9.0,20.0,85.0,20.0,12.06,1.0,9.5,1.0,2.85,cyclohexanone,3,ESE,"Leaking tank, chemical is burning and forms a pool fire",Single office,open country,Instantaneous,1.0,Sphere,20.0,2.85,1,Concrete,cubic meters,Hole,Liquid
