Wind speed,Cloud cover,Air themperature,Humidity,Duration (For),SourceHeight,Tank Diameter,Tank length,Liquid level,Opening diameter,Chemical,Mesurement Heigth,Wind is from,Chemical state,Building,Ground roughtness,Source,Tank Diameter (meters),Stored Themperature,Opening Diameter (inches),Height of the Tank opening,Ground type,Source strength,Leak through,Stored
3.0,3.0,25.0,82.0,11.0,43.79,7.1,7.4,45.0,0.76,cyclohexanone,3,ENE,cyclohexanone,Single office,open country,Instantaneous,7.1,25.0,0.76,33,Concrete,cubic meters,pipe/valve,Liquid
5.0,7.0,29.0,85.0,18.0,70.2,1.8,3.3,60.0,1.6,cyclohexanone,3,NE,cyclohexanone,Enclosed office,open country,Instantaneous,1.8,29.0,1.6,52,Concrete,cubic meters,Hole,Liquid
3.0,3.0,21.0,84.0,43.0,27.95,6.9,5.6,86.0,1.46,cyclohexanone,3,ESE,cyclohexanone,Single office,Urban or forest,Instantaneous,6.9,21.0,1.46,12,Concrete,cubic meters,Hole,Liquid
6.0,1.0,27.0,80.0,23.0,78.64,6.4,1.7,10.0,2.39,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Instantaneous,6.4,27.0,2.39,8,Concrete,cubic meters,pipe/valve,Liquid
3.0,9.0,23.0,82.0,10.0,57.67,6.7,8.1,94.0,2.22,cyclohexanone,3,ENE,cyclohexanone,Single office,open country,Continue,6.7,23.0,2.22,9,Concrete,cubic meters,pipe/valve,Liquid
5.0,5.0,26.0,83.0,37.0,83.44,5.8,4.0,3.0,1.14,cyclohexanone,3,ENE,cyclohexanone,Enclosed office,Urban or forest,Continue,5.8,26.0,1.14,3,Concrete,cubic meters,Hole,Liquid
4.0,6.0,18.0,78.0,24.0,87.94,7.0,2.0,18.0,2.56,cyclohexanone,3,ESE,cyclohexanone,Enclosed office,Urban or forest,Continue,7.0,18.0,2.56,3,Concrete,cubic meters,pipe/valve,Liquid
4.0,8.0,22.0,84.0,19.0,20.21,3.0,8.4,80.0,1.93,cyclohexanone,3,NNE,cyclohexanone,Double storied,Urban or forest,Continue,3.0,22.0,1.93,55,Concrete,cubic meters,Hole,Liquid
4.0,3.0,24.0,77.0,21.0,46.14,4.0,9.6,20.0,2.92,cyclohexanone,3,ENE,cyclohexanone,Double storied,Urban or forest,Instantaneous,4.0,24.0,2.92,14,Concrete,cubic meters,pipe/valve,Liquid
6.0,0.0,31.0,81.0,23.0,30.87,6.5,3.5,39.0,1.98,cyclohexanone,3,NNE,cyclohexanone,Enclosed office,open country,Instantaneous,6.5,31.0,1.98,35,Concrete,cubic meters,Hole,Liquid
6.0,1.0,25.0,82.0,37.0,2.56,8.3,6.0,72.0,1.01,cyclohexanone,3,NE,cyclohexanone,Double storied,Urban or forest,Continue,8.3,25.0,1.01,67,Concrete,cubic meters,Hole,Liquid
5.0,7.0,28.0,85.0,20.0,19.53,5.1,5.3,50.0,2.56,cyclohexanone,3,ESE,cyclohexanone,Double storied,Urban or forest,Continue,5.1,28.0,2.56,30,Concrete,cubic meters,Hole,Liquid
4.0,5.0,21.0,80.0,55.0,4.11,4.5,2.0,95.0,1.53,cyclohexanone,3,ENE,cyclohexanone,Double storied,Urban or forest,Instantaneous,4.5,21.0,1.53,60,Concrete,cubic meters,pipe/valve,Liquid
4.0,2.0,30.0,82.0,44.0,30.4,8.5,9.8,97.0,2.93,cyclohexanone,3,ESE,cyclohexanone,Single office,open country,Instantaneous,8.5,30.0,2.93,24,Concrete,cubic meters,pipe/valve,Liquid
